annee,departement,age_min,age_max,population
2019,42,80,84,22956
2019,42,85,89,18605
2019,42,90,94,9678
2019,42,95,120,3494
2019,43,0,4,10048
2019,43,5,9,12113
2019,43,10,14,13552
2019,43,15,19,13222
2019,43,20,24,10811
2019,43,25,29,9545
2019,43,30,34,11054
2019,43,35,39,12057
2019,43,40,44,13079
2019,43,45,49,14198
2019,43,50,54,16009
2019,43,55,59,16265
2019,43,60,64,16070
2019,43,65,69,16020
2019,43,70,74,15107
2019,43,75,79,11005
2019,43,80,84,7237
2019,43,85,89,5565
2019,43,90,94,3002
2019,43,95,120,919
2019,44,0,4,80661
2019,44,5,9,90324
2019,44,10,14,98134
2019,44,15,19,96989
2019,44,20,24,92877
2019,44,25,29,86211
2019,44,30,34,94001
2019,44,35,39,97400
2019,44,40,44,100574
2019,44,45,49,95558
2019,44,50,54,98230
2019,44,55,59,90365
2019,44,60,64,85056
2019,44,65,69,79104
2019,44,70,74,76686
2019,44,75,79,54670
2019,44,80,84,34784
2019,44,85,89,27180
2019,44,90,94,13838
2019,44,95,120,4671
2019,45,0,4,37439
2019,45,5,9,41888
2019,45,10,14,46152
2019,45,15,19,44551
2019,45,20,24,38602
2019,45,25,29,35677
2019,45,30,34,39468
2019,45,35,39,41687
2019,45,40,44,42460
2019,45,45,49,42230
2019,45,50,54,45482
2019,45,55,59,43391
2019,45,60,64,41014
2019,45,65,69,39062
2019,45,70,74,37986
2019,45,75,79,27973
2019,45,80,84,17922
2019,45,85,89,13853
2019,45,90,94,7522
2019,45,95,120,2256
2019,46,0,4,6777
2019,46,5,9,7830
2019,46,10,14,9145
2019,46,15,19,8539
2019,46,20,24,6555
2019,46,25,29,6336
2019,46,30,34,8039
2019,46,35,39,8505
2019,46,40,44,9319
2019,46,45,49,10133
2019,46,50,54,11707
2019,46,55,59,13054
2019,46,60,64,14097
2019,46,65,69,14576
2019,46,70,74,14255
2019,46,75,79,10678
2019,46,80,84,6910
2019,46,85,89,5299
2019,46,90,94,2742
2019,46,95,120,812
2019,47,0,4,14454
2019,47,5,9,16960
2019,47,10,14,19265
2019,47,15,19,18243
2019,47,20,24,15329
2019,47,25,29,13904
2019,47,30,34,15557
2019,47,35,39,17467
2019,47,40,44,18566
2019,47,45,49,18856
